epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.7572,0.54925,2.86047,1.00635,0.84688,0.88037,0.89919,0.84641,0.37873,0.71028,1.11096,0.000195263,0.000195263,0.000195263
2,97.938,0.28789,0.68459,0.86429,0.99694,0.99719,0.99447,0.9753,0.20977,0.3088,1.04242,0.000375769,0.000375769,0.000375769
3,142.527,0.23121,0.44983,0.83209,0.99954,0.99939,0.995,0.99327,0.17986,0.2877,1.02939,0.000540752,0.000540752,0.000540752
4,186.733,0.21974,0.39079,0.82182,0.99986,0.9997,0.995,0.99437,0.18692,0.2644,1.03407,0.000518146,0.000518146,0.000518146
5,229.398,0.21751,0.36296,0.82,0.99843,0.99958,0.99496,0.9934,0.19239,0.22458,1.03641,0.000494861,0.000494861,0.000494861
6,270.086,0.1849,0.33666,0.81265,0.99976,1,0.995,0.99437,0.17011,0.20309,1.02923,0.000471576,0.000471576,0.000471576
7,311.186,0.17361,0.31753,0.81137,0.99989,0.99971,0.995,0.99467,0.14518,0.17475,1.0261,0.000448291,0.000448291,0.000448291
8,353.415,0.16092,0.29823,0.80732,0.99979,0.99997,0.995,0.99492,0.12643,0.16522,1.023,0.000425006,0.000425006,0.000425006
9,394.106,0.15447,0.28749,0.80533,0.9999,0.99999,0.995,0.99489,0.12389,0.1574,1.02194,0.000401722,0.000401722,0.000401722
10,434.778,0.14513,0.27442,0.80242,0.99995,1,0.995,0.99497,0.11516,0.14856,1.02271,0.000378437,0.000378437,0.000378437
11,475.763,0.13842,0.26118,0.80276,0.9999,0.99999,0.995,0.99496,0.12396,0.16411,1.02185,0.000355152,0.000355152,0.000355152
12,516.876,0.14035,0.25599,0.79968,0.99997,1,0.995,0.99493,0.14898,0.15574,1.02608,0.000331867,0.000331867,0.000331867
13,556.954,0.13425,0.24686,0.80113,0.99997,1,0.995,0.99497,0.10058,0.13172,1.0204,0.000308582,0.000308582,0.000308582
14,597.848,0.14029,0.24377,0.79933,0.99997,1,0.995,0.99499,0.09578,0.12739,1.01812,0.000285298,0.000285298,0.000285298
15,639.311,0.12558,0.23443,0.79812,0.99993,0.99995,0.995,0.99499,0.09255,0.1249,1.01818,0.000262013,0.000262013,0.000262013
16,696.971,0.13147,0.21528,0.78816,0.99996,1,0.995,0.99499,0.09049,0.11858,1.01681,0.000238728,0.000238728,0.000238728
17,736.361,0.11608,0.19973,0.78818,0.99996,1,0.995,0.99499,0.09197,0.10751,1.01564,0.000215443,0.000215443,0.000215443
18,776.773,0.10948,0.19035,0.78538,0.99996,1,0.995,0.995,0.11484,0.12698,1.01843,0.000192158,0.000192158,0.000192158
19,815.844,0.10661,0.18338,0.78644,0.99998,1,0.995,0.995,0.0789,0.10411,1.01481,0.000168874,0.000168874,0.000168874
20,854.461,0.10168,0.17819,0.78346,0.99997,1,0.995,0.995,0.08342,0.10006,1.01543,0.000145589,0.000145589,0.000145589
21,892.589,0.09592,0.17664,0.7835,0.99998,1,0.995,0.995,0.0779,0.09533,1.01539,0.000122304,0.000122304,0.000122304
22,931.886,0.09384,0.17335,0.78235,0.99998,1,0.995,0.995,0.07471,0.09575,1.01501,9.90192e-05,9.90192e-05,9.90192e-05
23,971.43,0.09184,0.16809,0.78416,0.99998,1,0.995,0.995,0.07259,0.09141,1.01405,7.57344e-05,7.57344e-05,7.57344e-05
24,1009.59,0.08921,0.16307,0.78339,0.99998,1,0.995,0.995,0.07149,0.08767,1.01441,5.24496e-05,5.24496e-05,5.24496e-05
25,1048.75,0.08825,0.1617,0.78401,0.99998,1,0.995,0.995,0.06981,0.08692,1.01422,2.91648e-05,2.91648e-05,2.91648e-05
