Metrekare,Oda_Sayisi,Bina_Yasi,Fiyat,Lokasyon_B,Lokasyon_C
152,4,44,364000,False,True
142,5,36,420000,False,False
64,1,35,144000,True,False
156,5,6,494000,True,False
121,2,16,289000,False,False
70,3,45,230000,True,False
152,4,28,396000,False,False
171,5,41,439000,True,False
124,5,32,410000,False,True
137,3,26,335000,False,True
166,4,11,444000,False,True
149,5,25,449000,False,False
153,5,31,441000,False,True
180,2,21,338000,False,True
199,2,45,309000,False,True
102,1,3,246000,False,False
51,3,12,277000,True,False
137,4,40,357000,False,False
87,5,46,345000,False,False
179,5,41,447000,False,True
70,1,25,170000,True,False
107,5,17,423000,False,True
71,3,38,245000,False,True
138,1,36,216000,False,False
98,3,36,276000,False,False
108,1,19,220000,False,False
64,5,44,326000,False,True
100,1,2,246000,True,False
157,2,17,323000,True,False
104,4,30,344000,False,True
113,5,47,369000,True,False
180,4,10,460000,False,True
100,5,35,380000,True,False
184,4,36,412000,False,True
70,2,33,204000,True,False
122,4,1,420000,False,False
67,1,18,181000,False,False
181,4,4,473000,False,False
138,5,47,394000,False,False
109,3,27,305000,False,True
63,4,25,313000,True,False
58,4,28,302000,False,True
139,4,22,395000,False,False
102,5,42,368000,True,False
179,4,25,429000,False,True
133,5,17,449000,False,False
141,5,44,403000,True,False
160,3,12,386000,True,False
57,1,16,175000,False,False
84,5,37,360000,False,False
130,2,16,298000,True,False
99,4,17,365000,False,False
153,2,31,291000,False,True
181,4,15,451000,False,False
51,3,13,275000,False,False
183,5,40,453000,False,False
103,1,27,199000,True,False
155,5,21,463000,True,False
53,4,2,349000,False,False
103,1,8,237000,True,False
195,5,42,461000,False,False
93,1,7,229000,False,True
63,4,10,343000,True,False
144,3,4,386000,False,False
97,3,43,261000,True,False
64,5,41,332000,False,True
89,2,36,217000,False,True
131,4,35,361000,False,False
160,5,43,424000,True,False
102,5,3,446000,False,True
73,3,18,287000,True,False
173,1,46,231000,False,False
90,4,43,304000,False,True
64,1,24,166000,False,True
94,4,32,330000,True,False
114,2,34,246000,False,True
138,3,2,384000,False,False
120,2,2,316000,False,False
58,5,10,388000,False,True
137,3,23,341000,False,False
178,5,15,498000,False,True
185,2,12,361000,False,True
112,4,43,326000,False,True
188,5,17,504000,False,True
130,1,18,244000,True,False
185,4,14,457000,False,True
82,4,17,348000,False,False
172,2,15,342000,True,False
54,2,12,230000,False,False
90,3,16,308000,False,True
77,3,32,263000,False,False
184,1,23,288000,True,False
121,4,38,345000,False,False
61,1,34,143000,True,False
82,1,34,164000,False,True
97,2,16,265000,False,True
111,1,34,193000,False,False
86,1,40,156000,False,False
148,5,7,484000,False,True
153,3,33,337000,False,True
84,3,4,326000,False,False
150,4,43,364000,False,True
180,3,7,416000,True,False
50,4,18,314000,True,False
54,5,4,396000,False,False
191,3,49,343000,False,False
152,5,11,480000,False,True
76,3,43,240000,False,True
186,3,20,396000,True,False
64,5,11,392000,False,False
139,1,15,259000,False,False
91,1,46,149000,False,False
173,1,17,289000,False,False
112,1,34,194000,True,False
145,3,48,299000,True,False
101,2,12,277000,False,False
145,5,42,411000,True,False
181,2,28,325000,False,False
192,2,48,296000,True,False
78,4,35,308000,False,True
85,1,8,219000,True,False
62,3,27,258000,False,False
120,1,22,226000,False,True
135,1,24,237000,False,False
77,2,2,273000,False,True
115,4,31,353000,False,True
94,1,22,200000,True,False
111,5,1,459000,True,False
183,5,14,505000,False,True
77,1,25,177000,False,True
77,2,36,205000,False,True
157,2,36,285000,False,False
93,3,41,261000,True,False
133,4,3,427000,False,False
79,2,5,269000,True,False
124,3,1,372000,False,False
177,5,19,489000,True,False
141,5,33,425000,False,True
178,5,42,444000,False,True
170,1,30,260000,True,False
76,4,12,352000,False,True
170,3,10,400000,False,True
165,4,34,397000,False,False
52,1,16,170000,True,False
152,3,40,322000,False,True
186,3,46,344000,True,False
111,2,29,253000,False,False
100,4,15,370000,True,False
108,4,48,312000,False,False
167,2,11,345000,False,False
145,5,44,407000,False,False
162,1,34,244000,False,True
111,4,36,339000,False,False
101,2,30,241000,True,False
61,3,35,241000,True,False
88,2,9,270000,False,True
179,5,18,493000,False,True
180,1,19,292000,False,False
162,5,39,434000,False,False
150,3,4,392000,False,False
162,3,6,400000,False,True
130,3,33,314000,False,True
162,3,32,348000,True,False
51,2,16,219000,False,False
179,3,11,407000,False,False
103,3,22,309000,True,False
136,2,36,264000,True,False
178,3,23,382000,True,False
196,5,26,494000,True,False
175,5,31,463000,False,False
179,4,29,421000,False,True
102,5,5,442000,False,False
117,1,38,191000,True,False
172,1,25,272000,False,True
194,1,34,276000,False,False
87,2,12,263000,True,False
73,5,22,379000,False,True
118,1,9,250000,False,True
165,4,20,425000,False,True
147,2,29,289000,False,False
188,4,44,400000,True,False
193,5,29,485000,False,False
146,3,45,306000,False,False
173,4,27,419000,False,False
119,3,17,335000,False,True
142,2,5,332000,True,False
52,4,45,262000,False,False
197,4,13,471000,True,False
196,2,42,312000,False,True
139,2,15,309000,False,False
196,1,15,316000,True,False
197,5,18,511000,False,True
145,4,2,441000,False,False
101,4,23,355000,False,False
177,2,43,291000,True,False
88,2,13,262000,True,False
131,5,43,395000,False,False
153,2,4,345000,False,False
178,3,47,334000,False,True
60,3,25,260000,False,True
91,3,11,319000,False,False
148,3,48,302000,True,False
56,5,42,322000,True,False
193,4,12,469000,False,False
139,3,13,363000,False,True
161,2,9,343000,False,False
109,3,45,269000,True,False
162,5,38,436000,False,False
51,2,6,239000,False,False
178,3,43,342000,False,True
97,4,43,311000,True,False
189,2,10,369000,True,False
86,2,23,240000,False,False
58,4,15,328000,True,False
148,2,45,258000,True,False
196,3,23,400000,True,False
97,2,40,217000,True,False
180,3,37,356000,False,True
197,4,34,429000,False,True
103,1,16,221000,False,True
169,4,45,379000,False,True
165,3,41,333000,False,True
124,5,47,380000,True,False
162,4,32,398000,False,False
153,5,38,427000,False,False
133,5,40,403000,False,True
161,3,46,319000,True,False
148,3,5,388000,False,True
142,1,17,258000,False,False
195,2,22,351000,True,False
177,4,39,399000,True,False
159,3,41,327000,True,False
131,4,48,335000,False,False
103,5,18,417000,False,False
117,2,28,261000,False,True
82,1,13,206000,False,True
191,4,42,407000,False,False
70,2,1,268000,False,True
97,1,19,209000,False,False
197,4,34,429000,True,False
177,2,4,369000,False,True
185,3,43,349000,False,False
184,4,3,478000,False,False
194,2,41,312000,False,False
177,1,10,307000,False,True
82,2,28,226000,False,True
164,3,34,346000,True,False
168,4,39,390000,False,True
71,4,47,277000,False,True
87,4,19,349000,False,True
158,3,42,324000,True,False
100,1,46,158000,True,False
57,4,36,285000,True,False
76,1,43,140000,False,True
76,2,3,270000,False,False
70,1,23,174000,False,True
79,1,17,195000,True,False
146,4,7,432000,False,True
77,5,26,375000,False,True
160,5,43,424000,False,False
110,3,18,324000,False,False
97,3,46,255000,False,True
196,5,46,454000,True,False
53,2,6,241000,False,True
84,4,31,322000,False,True
98,4,29,340000,False,True
66,2,9,248000,True,False
95,2,35,225000,True,False
166,5,17,482000,True,False
55,3,12,281000,True,False
148,2,36,276000,True,False
173,3,48,327000,False,True
86,1,24,188000,True,False
73,4,10,353000,False,True
142,5,30,432000,False,True
95,4,29,337000,False,True
144,5,39,416000,False,False
148,1,10,278000,True,False
165,4,39,387000,True,False
116,1,28,210000,False,True
177,5,18,491000,False,False
67,2,41,185000,True,False
74,4,17,340000,False,True
103,1,11,231000,False,False
107,4,1,405000,False,True
116,4,17,382000,False,False
153,4,36,381000,False,True
73,3,36,251000,True,False
163,1,46,221000,False,True
81,1,9,213000,False,True
135,4,45,345000,False,False
176,2,28,320000,False,False
179,4,48,383000,True,False
66,3,33,250000,False,True
153,5,3,497000,False,False
186,3,8,420000,True,False
92,2,6,280000,True,False
88,4,6,376000,False,False
75,1,29,167000,False,False
148,4,37,374000,False,True
99,2,12,275000,True,False
62,1,9,194000,False,False
109,3,41,277000,True,False
184,5,49,436000,False,True
106,5,19,418000,False,False
85,4,17,351000,True,False
69,3,48,223000,False,False
114,2,44,226000,False,True
57,5,32,343000,False,True
193,3,35,373000,False,True
191,4,14,463000,False,True
164,1,49,216000,False,False
192,4,16,460000,False,False
141,4,21,399000,True,False
147,3,12,373000,True,False
115,5,24,417000,False,False
81,3,34,263000,False,False
135,1,8,269000,True,False
100,3,44,262000,False,False
112,2,21,270000,False,True
174,4,48,378000,False,True
199,5,8,533000,False,True
107,1,28,201000,True,False
107,4,16,375000,False,False
135,3,10,365000,True,False
98,2,15,268000,True,False
119,3,4,361000,False,False
64,4,26,312000,True,False
103,1,15,223000,False,True
150,5,36,428000,False,False
57,4,32,293000,False,True
102,1,43,166000,False,True
109,4,38,333000,False,False
157,2,4,349000,False,True
54,3,41,222000,False,True
152,5,9,484000,False,True
55,1,35,135000,False,False
158,5,28,452000,False,False
165,5,37,441000,False,False
143,5,47,399000,True,False
96,1,9,228000,False,True
148,1,2,294000,True,False
104,5,3,448000,True,False
101,3,44,263000,False,True
193,4,48,397000,False,False
62,5,5,402000,True,False
163,2,10,343000,False,False
173,5,28,467000,False,False
155,1,15,275000,False,True
196,4,14,468000,True,False
194,2,46,302000,True,False
169,4,23,423000,False,False
112,4,13,386000,False,True
68,2,16,236000,True,False
141,5,30,431000,False,False
107,5,40,377000,False,False
139,5,8,473000,False,False
166,3,17,382000,False,True
111,5,30,401000,False,True
72,2,17,238000,False,False
176,3,35,356000,False,False
186,5,1,534000,False,True
189,3,49,341000,False,False
178,2,24,330000,False,False
107,5,48,361000,False,True
171,1,49,223000,False,False
50,2,25,200000,False,False
83,4,2,379000,False,False
145,4,25,395000,False,True
175,2,14,347000,False,True
167,4,39,389000,False,True
97,2,33,231000,True,False
138,1,17,254000,True,False
166,2,31,304000,True,False
178,5,10,508000,True,False
65,5,6,403000,False,True
118,3,39,290000,False,False
71,4,25,321000,False,True
142,4,38,366000,True,False
125,2,37,251000,False,True
193,4,30,433000,False,False
135,5,34,417000,True,False
78,1,18,192000,False,False
118,2,24,270000,False,False
96,4,49,298000,False,False
143,5,27,439000,True,False
193,3,27,389000,False,True
134,4,39,356000,True,False
88,1,21,196000,True,False
149,1,19,261000,False,True
82,4,39,304000,False,True
150,4,23,404000,False,True
72,5,39,344000,False,True
59,4,48,263000,False,False
118,3,44,280000,True,False
149,5,47,405000,True,False
83,2,15,253000,True,False
187,3,43,351000,False,True
196,5,2,542000,True,False
145,5,35,425000,False,False
50,1,20,160000,True,False
118,5,28,412000,True,False
53,3,15,273000,False,False
65,4,16,333000,False,False
73,3,33,257000,True,False
129,2,47,235000,False,True
51,5,12,377000,False,True
177,5,39,449000,True,False
133,5,39,405000,True,False
189,5,43,453000,True,False
173,1,20,283000,True,False
82,1,29,174000,False,True
150,4,43,364000,True,False
61,5,49,313000,False,False
116,2,3,310000,False,True
114,4,48,318000,False,True
123,5,5,463000,False,False
92,1,2,238000,True,False
93,2,23,247000,True,False
78,4,26,326000,True,False
190,2,26,338000,True,False
61,5,7,397000,True,False
144,3,10,374000,False,False
95,2,5,285000,True,False
179,2,47,285000,False,False
84,1,12,210000,False,False
130,5,32,416000,False,False
139,2,42,255000,True,False
57,5,31,345000,True,False
142,1,22,248000,False,True
139,5,17,455000,False,True
164,1,20,274000,False,False
154,1,20,264000,False,True
184,4,43,398000,False,False
107,5,8,441000,False,True
163,3,47,319000,True,False
124,4,34,356000,True,False
169,1,49,221000,False,False
70,3,23,274000,False,False
187,2,38,311000,True,False
150,2,28,294000,True,False
148,4,13,422000,True,False
85,3,29,277000,False,True
145,5,8,479000,False,True
86,3,11,314000,False,True
61,4,47,267000,False,True
162,5,45,422000,False,False
62,5,18,376000,False,False
72,2,25,222000,False,True
148,3,49,300000,False,False
154,5,22,460000,False,True
79,4,45,289000,False,True
66,2,35,196000,True,False
162,5,29,454000,False,True
111,3,21,319000,False,False
133,2,7,319000,False,True
161,3,12,387000,True,False
135,3,36,313000,False,False
190,3,24,392000,True,False
68,2,32,204000,False,True
149,5,27,445000,False,True
189,1,32,275000,False,True
196,5,32,482000,False,True
125,2,32,261000,False,False
58,1,26,156000,False,True
77,1,11,205000,True,False
177,1,46,235000,False,False
101,4,18,365000,False,False
132,2,39,254000,False,False
160,4,5,450000,True,False
193,1,16,311000,True,False
166,4,11,444000,True,False
118,4,35,348000,True,False
148,2,48,252000,False,True
189,3,11,417000,False,True
74,4,42,290000,True,False
172,4,23,426000,True,False
102,1,34,184000,False,True
193,1,48,247000,False,True
106,1,17,222000,True,False
88,5,10,418000,False,False
158,4,18,422000,False,False
91,1,44,153000,True,False
191,2,8,375000,False,False
171,5,26,469000,False,True
182,3,3,426000,False,False
124,4,24,376000,True,False
195,4,3,489000,False,False
125,2,38,249000,False,False
58,3,2,304000,False,False
123,3,35,303000,False,True
194,5,17,510000,False,True
56,4,9,338000,False,True
190,1,36,268000,True,False
186,2,22,342000,False,False
76,2,31,214000,False,True
171,2,34,303000,False,True
54,2,24,206000,False,False
78,1,9,210000,True,False
132,1,46,190000,False,False
185,5,43,449000,True,False
158,4,2,454000,False,False
114,1,21,222000,False,True
135,5,34,417000,False,True
194,3,27,390000,False,True
120,4,37,346000,True,False
94,1,7,230000,False,False
181,3,22,387000,True,False
85,5,4,427000,False,True
119,1,14,241000,True,False
68,1,34,150000,True,False
157,3,23,361000,True,False
140,1,44,202000,False,False
139,2,42,255000,True,False
68,1,25,168000,True,False
88,4,1,386000,True,False
175,3,48,329000,False,True
190,4,15,460000,False,True
175,5,32,461000,False,False
107,4,14,379000,False,True
197,2,41,315000,False,False
110,2,21,268000,False,True
176,4,47,382000,False,False
154,5,7,490000,False,False
50,1,36,128000,False,False
180,2,21,338000,False,True
141,4,40,361000,True,False
162,4,12,438000,False,True
105,4,15,375000,True,False
166,1,15,286000,False,True
183,3,17,399000,True,False
107,5,34,389000,False,True
93,3,44,255000,False,False
110,5,35,390000,False,False
96,5,39,368000,False,False
198,4,38,422000,True,False
129,2,14,301000,True,False
167,4,5,457000,False,False
196,1,30,286000,True,False
69,5,4,411000,False,False
195,2,15,365000,False,True
96,5,39,368000,True,False
98,5,35,378000,True,False
63,4,45,273000,False,True
192,2,10,372000,True,False
50,2,2,246000,True,False
166,5,44,428000,True,False
103,2,24,255000,False,True
167,2,28,311000,False,False
52,4,22,308000,False,False
193,3,44,355000,False,True
61,1,32,147000,False,True
123,3,31,311000,False,True
65,2,19,227000,False,False
151,5,21,459000,False,True
166,1,3,310000,False,False
57,1,6,195000,False,True
171,5,32,457000,True,False
141,1,2,287000,False,False
139,5,24,441000,False,False
185,1,45,245000,False,True
109,3,27,305000,True,False
77,1,9,209000,False,False
150,4,13,424000,False,True
90,5,14,412000,True,False
194,1,11,322000,False,False
190,5,14,512000,False,True
95,4,16,363000,True,False
84,1,10,214000,False,False
183,1,20,293000,False,False
131,4,16,399000,True,False
164,4,34,396000,False,True
96,4,16,364000,False,True
59,5,14,381000,True,False
105,4,28,349000,False,False
79,5,18,393000,True,False
158,3,26,356000,True,False
54,1,38,128000,True,False
168,1,7,304000,False,False
82,2,45,192000,True,False
167,3,34,349000,True,False
114,4,47,320000,False,False
195,4,49,397000,False,False
60,3,45,220000,True,False
134,4,7,420000,False,True
75,2,33,209000,True,False
112,5,35,392000,False,False
135,1,39,207000,False,False
108,3,21,316000,False,False
76,1,49,128000,False,True
147,5,28,441000,False,False
154,3,32,340000,False,True
148,5,44,410000,False,False
178,4,16,446000,False,False
198,4,10,478000,True,False
104,4,23,358000,False,True
55,5,48,309000,True,False
144,5,15,464000,False,True
182,5,43,446000,False,False
151,1,6,289000,False,False
52,5,33,336000,False,True
72,4,39,294000,True,False
102,2,12,278000,False,True
132,5,36,410000,False,True
194,2,31,332000,False,True
134,4,10,414000,False,False
127,5,34,409000,False,True
159,1,41,227000,False,False
50,1,10,180000,True,False
100,2,11,278000,False,False
53,1,14,175000,True,False
162,1,3,306000,True,False
